ModelNet Loading
------ (9840, 2048, 3) (9840, 1)
------ (2468, 2048, 3) (2468, 1)
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39] [100  50 100  20 100 100  20 100 100  20  20  20  86  20  86  20 100 100
  20  20  20 100 100  86  20 100 100  20 100  20 100  20  20 100  20 100
 100 100  20  20]
(9840, 2048, 3)
(2468, 2048, 3)
Cuda available :-  True

device cuda 

*************** New model ***************
num_classes 40
Details: embed_dim = 64 num_heads = 16 num_induce = 128 stack = 3 dropout = 0.05 use_layernorm =  True pre_layernorm =  False
val_subsample_size:  128

bs: 32 ss 256 

 Epoch [1/250], Train Loss: 3.6810, Train Accuracy: 0.0371, Train F1: 0.0266, Validation Loss: 3.2584,Validation Accuracy: 0.1110, Val F1: 0.0371
 Epoch [35/250], Train Loss: 1.0192, Train Accuracy: 0.6773, Train F1: 0.6708, Validation Loss: 1.1214,Validation Accuracy: 0.6479, Val F1: 0.5786
 Epoch [36/250], Train Loss: 1.0779, Train Accuracy: 0.6566, Train F1: 0.6485, Validation Loss: 1.0485,Validation Accuracy: 0.6759, Val F1: 0.5917
 Epoch [37/250], Train Loss: 1.0065, Train Accuracy: 0.6656, Train F1: 0.6569, Validation Loss: 1.1155,Validation Accuracy: 0.6592, Val F1: 0.5748
 Epoch [38/250], Train Loss: 1.0920, Train Accuracy: 0.6418, Train F1: 0.6364, Validation Loss: 1.0414,Validation Accuracy: 0.6848, Val F1: 0.6061
 Epoch [39/250], Train Loss: 1.0401, Train Accuracy: 0.6699, Train F1: 0.6593, Validation Loss: 1.0471,Validation Accuracy: 0.6823, Val F1: 0.6070
 Epoch [40/250], Train Loss: 0.9719, Train Accuracy: 0.6879, Train F1: 0.6797, Validation Loss: 1.0634,Validation Accuracy: 0.6823, Val F1: 0.6019
 Epoch [41/250], Train Loss: 0.9802, Train Accuracy: 0.6898, Train F1: 0.6816, Validation Loss: 1.1234,Validation Accuracy: 0.6511, Val F1: 0.5901
 Epoch [42/250], Train Loss: 0.9555, Train Accuracy: 0.6918, Train F1: 0.6862, Validation Loss: 1.0210,Validation Accuracy: 0.6783, Val F1: 0.6153
 Epoch [43/250], Train Loss: 0.9876, Train Accuracy: 0.6883, Train F1: 0.6827, Validation Loss: 1.0734,Validation Accuracy: 0.6665, Val F1: 0.5987
 Epoch [44/250], Train Loss: 1.0321, Train Accuracy: 0.6813, Train F1: 0.6727, Validation Loss: 1.0310,Validation Accuracy: 0.6722, Val F1: 0.5982
 Epoch [45/250], Train Loss: 0.9568, Train Accuracy: 0.7043, Train F1: 0.6981, Validation Loss: 1.0252,Validation Accuracy: 0.6840, Val F1: 0.6156
 Epoch [46/250], Train Loss: 0.9077, Train Accuracy: 0.7191, Train F1: 0.7125, Validation Loss: 1.1768,Validation Accuracy: 0.6305, Val F1: 0.5611
 Epoch [47/250], Train Loss: 0.9151, Train Accuracy: 0.7059, Train F1: 0.7010, Validation Loss: 1.0095,Validation Accuracy: 0.6750, Val F1: 0.6022
 Epoch [48/250], Train Loss: 0.9794, Train Accuracy: 0.6797, Train F1: 0.6736, Validation Loss: 0.9735,Validation Accuracy: 0.7030, Val F1: 0.6295
 Epoch [49/250], Train Loss: 0.9262, Train Accuracy: 0.7027, Train F1: 0.6960, Validation Loss: 1.0968,Validation Accuracy: 0.6467, Val F1: 0.5709
 Epoch [50/250], Train Loss: 0.8976, Train Accuracy: 0.7113, Train F1: 0.7038, Validation Loss: 0.9811,Validation Accuracy: 0.6945, Val F1: 0.6228
 Epoch [51/250], Train Loss: 0.9225, Train Accuracy: 0.7109, Train F1: 0.7064, Validation Loss: 0.9868,Validation Accuracy: 0.6884, Val F1: 0.6250
 Epoch [52/250], Train Loss: 0.9286, Train Accuracy: 0.7090, Train F1: 0.7032, Validation Loss: 1.0688,Validation Accuracy: 0.6609, Val F1: 0.6024
 Epoch [53/250], Train Loss: 0.9368, Train Accuracy: 0.7012, Train F1: 0.6967, Validation Loss: 0.9728,Validation Accuracy: 0.6925, Val F1: 0.6332
 Epoch [54/250], Train Loss: 0.8725, Train Accuracy: 0.7242, Train F1: 0.7198, Validation Loss: 0.9574,Validation Accuracy: 0.6904, Val F1: 0.6248
 Epoch [55/250], Train Loss: 0.8861, Train Accuracy: 0.7246, Train F1: 0.7194, Validation Loss: 0.9647,Validation Accuracy: 0.6937, Val F1: 0.6284
 Epoch [56/250], Train Loss: 0.8937, Train Accuracy: 0.7090, Train F1: 0.7036, Validation Loss: 0.9884,Validation Accuracy: 0.6941, Val F1: 0.6116
 Epoch [57/250], Train Loss: 0.8853, Train Accuracy: 0.7109, Train F1: 0.7050, Validation Loss: 0.9561,Validation Accuracy: 0.6949, Val F1: 0.6240
 Epoch [58/250], Train Loss: 0.8979, Train Accuracy: 0.7207, Train F1: 0.7151, Validation Loss: 0.9863,Validation Accuracy: 0.6807, Val F1: 0.6042
 Epoch [59/250], Train Loss: 0.8318, Train Accuracy: 0.7383, Train F1: 0.7335, Validation Loss: 1.0942,Validation Accuracy: 0.6532, Val F1: 0.5893
 Epoch [60/250], Train Loss: 0.8427, Train Accuracy: 0.7309, Train F1: 0.7254, Validation Loss: 1.0301,Validation Accuracy: 0.6868, Val F1: 0.6239
 Epoch [61/250], Train Loss: 0.8654, Train Accuracy: 0.7242, Train F1: 0.7177, Validation Loss: 0.9279,Validation Accuracy: 0.7216, Val F1: 0.6521
 Epoch [62/250], Train Loss: 0.8922, Train Accuracy: 0.7145, Train F1: 0.7087, Validation Loss: 0.9379,Validation Accuracy: 0.7123, Val F1: 0.6357
 Epoch [63/250], Train Loss: 0.8429, Train Accuracy: 0.7297, Train F1: 0.7238, Validation Loss: 0.9987,Validation Accuracy: 0.7010, Val F1: 0.6358
 Epoch [64/250], Train Loss: 0.8128, Train Accuracy: 0.7508, Train F1: 0.7461, Validation Loss: 0.9491,Validation Accuracy: 0.7022, Val F1: 0.6307
 Epoch [65/250], Train Loss: 0.8573, Train Accuracy: 0.7277, Train F1: 0.7222, Validation Loss: 1.0303,Validation Accuracy: 0.6783, Val F1: 0.5974
 Epoch [66/250], Train Loss: 0.8525, Train Accuracy: 0.7227, Train F1: 0.7163, Validation Loss: 1.0613,Validation Accuracy: 0.6617, Val F1: 0.6039
 Epoch [67/250], Train Loss: 0.8178, Train Accuracy: 0.7340, Train F1: 0.7276, Validation Loss: 0.9483,Validation Accuracy: 0.7099, Val F1: 0.6301
 Epoch [68/250], Train Loss: 0.8090, Train Accuracy: 0.7262, Train F1: 0.7202, Validation Loss: 0.9502,Validation Accuracy: 0.6989, Val F1: 0.6279
 Epoch [69/250], Train Loss: 0.8278, Train Accuracy: 0.7262, Train F1: 0.7205, Validation Loss: 0.9924,Validation Accuracy: 0.6872, Val F1: 0.6209
 Epoch [70/250], Train Loss: 0.8195, Train Accuracy: 0.7227, Train F1: 0.7172, Validation Loss: 0.9954,Validation Accuracy: 0.6819, Val F1: 0.6292
 Epoch [71/250], Train Loss: 0.8179, Train Accuracy: 0.7281, Train F1: 0.7237, Validation Loss: 0.9402,Validation Accuracy: 0.6998, Val F1: 0.6331
 Epoch [72/250], Train Loss: 0.8089, Train Accuracy: 0.7344, Train F1: 0.7295, Validation Loss: 0.9015,Validation Accuracy: 0.7216, Val F1: 0.6480
 Epoch [73/250], Train Loss: 0.7911, Train Accuracy: 0.7434, Train F1: 0.7383, Validation Loss: 0.9580,Validation Accuracy: 0.6941, Val F1: 0.6321
 Epoch [74/250], Train Loss: 0.8412, Train Accuracy: 0.7309, Train F1: 0.7257, Validation Loss: 0.9325,Validation Accuracy: 0.7054, Val F1: 0.6395
 Epoch [75/250], Train Loss: 0.8072, Train Accuracy: 0.7359, Train F1: 0.7303, Validation Loss: 0.9682,Validation Accuracy: 0.7026, Val F1: 0.6279
 Epoch [76/250], Train Loss: 0.8358, Train Accuracy: 0.7410, Train F1: 0.7363, Validation Loss: 0.9146,Validation Accuracy: 0.7058, Val F1: 0.6296
 Epoch [77/250], Train Loss: 0.7753, Train Accuracy: 0.7480, Train F1: 0.7423, Validation Loss: 0.9305,Validation Accuracy: 0.7143, Val F1: 0.6509
 Epoch [78/250], Train Loss: 0.7471, Train Accuracy: 0.7480, Train F1: 0.7424, Validation Loss: 0.9335,Validation Accuracy: 0.7200, Val F1: 0.6429
 Epoch [79/250], Train Loss: 0.7870, Train Accuracy: 0.7496, Train F1: 0.7464, Validation Loss: 0.8490,Validation Accuracy: 0.7358, Val F1: 0.6618
 Epoch [80/250], Train Loss: 0.7676, Train Accuracy: 0.7484, Train F1: 0.7433, Validation Loss: 0.9053,Validation Accuracy: 0.7176, Val F1: 0.6422
 Epoch [81/250], Train Loss: 0.7812, Train Accuracy: 0.7387, Train F1: 0.7347, Validation Loss: 0.9298,Validation Accuracy: 0.7091, Val F1: 0.6339
 Epoch [82/250], Train Loss: 0.7720, Train Accuracy: 0.7504, Train F1: 0.7469, Validation Loss: 0.9330,Validation Accuracy: 0.6994, Val F1: 0.6299
 Epoch [83/250], Train Loss: 0.7778, Train Accuracy: 0.7488, Train F1: 0.7450, Validation Loss: 0.9452,Validation Accuracy: 0.7038, Val F1: 0.6344
 Epoch [84/250], Train Loss: 0.7736, Train Accuracy: 0.7469, Train F1: 0.7432, Validation Loss: 0.9065,Validation Accuracy: 0.7115, Val F1: 0.6369
 Epoch [85/250], Train Loss: 0.7973, Train Accuracy: 0.7375, Train F1: 0.7327, Validation Loss: 0.8932,Validation Accuracy: 0.7249, Val F1: 0.6560
 Epoch [86/250], Train Loss: 0.7794, Train Accuracy: 0.7555, Train F1: 0.7486, Validation Loss: 0.9418,Validation Accuracy: 0.7050, Val F1: 0.6436
 Epoch [87/250], Train Loss: 0.7562, Train Accuracy: 0.7508, Train F1: 0.7472, Validation Loss: 0.9897,Validation Accuracy: 0.7042, Val F1: 0.6331
 Epoch [88/250], Train Loss: 0.7570, Train Accuracy: 0.7500, Train F1: 0.7447, Validation Loss: 0.8705,Validation Accuracy: 0.7269, Val F1: 0.6587
 Epoch [89/250], Train Loss: 0.7130, Train Accuracy: 0.7656, Train F1: 0.7608, Validation Loss: 0.8713,Validation Accuracy: 0.7289, Val F1: 0.6655
 Epoch [90/250], Train Loss: 0.7704, Train Accuracy: 0.7453, Train F1: 0.7408, Validation Loss: 0.9297,Validation Accuracy: 0.7107, Val F1: 0.6534
 Epoch [91/250], Train Loss: 0.7501, Train Accuracy: 0.7512, Train F1: 0.7477, Validation Loss: 0.9943,Validation Accuracy: 0.6937, Val F1: 0.6239
 Epoch [92/250], Train Loss: 0.7658, Train Accuracy: 0.7430, Train F1: 0.7389, Validation Loss: 0.8812,Validation Accuracy: 0.7212, Val F1: 0.6599
 Epoch [93/250], Train Loss: 0.7273, Train Accuracy: 0.7598, Train F1: 0.7555, Validation Loss: 0.9796,Validation Accuracy: 0.6908, Val F1: 0.6212
 Epoch [94/250], Train Loss: 0.7787, Train Accuracy: 0.7355, Train F1: 0.7322, Validation Loss: 0.9990,Validation Accuracy: 0.6912, Val F1: 0.6194
 Epoch [95/250], Train Loss: 0.7444, Train Accuracy: 0.7465, Train F1: 0.7426, Validation Loss: 0.8961,Validation Accuracy: 0.7204, Val F1: 0.6509
 Epoch [96/250], Train Loss: 0.7284, Train Accuracy: 0.7672, Train F1: 0.7630, Validation Loss: 0.9109,Validation Accuracy: 0.7249, Val F1: 0.6625
 Epoch [97/250], Train Loss: 0.7104, Train Accuracy: 0.7609, Train F1: 0.7575, Validation Loss: 0.9360,Validation Accuracy: 0.7152, Val F1: 0.6436
 Epoch [98/250], Train Loss: 0.7302, Train Accuracy: 0.7633, Train F1: 0.7605, Validation Loss: 0.8506,Validation Accuracy: 0.7468, Val F1: 0.6713
 Epoch [99/250], Train Loss: 0.7040, Train Accuracy: 0.7688, Train F1: 0.7650, Validation Loss: 0.8597,Validation Accuracy: 0.7378, Val F1: 0.6725
 Epoch [100/250], Train Loss: 0.7627, Train Accuracy: 0.7539, Train F1: 0.7499, Validation Loss: 0.9420,Validation Accuracy: 0.7208, Val F1: 0.6541
 Epoch [101/250], Train Loss: 0.6732, Train Accuracy: 0.7777, Train F1: 0.7746, Validation Loss: 0.8631,Validation Accuracy: 0.7326, Val F1: 0.6596
 Epoch [102/250], Train Loss: 0.6834, Train Accuracy: 0.7664, Train F1: 0.7630, Validation Loss: 0.9029,Validation Accuracy: 0.7184, Val F1: 0.6495
 Epoch [103/250], Train Loss: 0.6959, Train Accuracy: 0.7691, Train F1: 0.7655, Validation Loss: 0.8881,Validation Accuracy: 0.7382, Val F1: 0.6738
 Epoch [104/250], Train Loss: 0.7190, Train Accuracy: 0.7613, Train F1: 0.7564, Validation Loss: 0.9953,Validation Accuracy: 0.7071, Val F1: 0.6336
 Epoch [105/250], Train Loss: 0.7485, Train Accuracy: 0.7477, Train F1: 0.7423, Validation Loss: 0.8628,Validation Accuracy: 0.7374, Val F1: 0.6720
 Epoch [106/250], Train Loss: 0.7247, Train Accuracy: 0.7621, Train F1: 0.7598, Validation Loss: 0.8268,Validation Accuracy: 0.7419, Val F1: 0.6707
 Epoch [107/250], Train Loss: 0.7477, Train Accuracy: 0.7570, Train F1: 0.7521, Validation Loss: 0.9193,Validation Accuracy: 0.7314, Val F1: 0.6544
 Epoch [108/250], Train Loss: 0.6814, Train Accuracy: 0.7762, Train F1: 0.7712, Validation Loss: 0.9615,Validation Accuracy: 0.7095, Val F1: 0.6368
 Epoch [109/250], Train Loss: 0.6997, Train Accuracy: 0.7688, Train F1: 0.7651, Validation Loss: 0.8567,Validation Accuracy: 0.7346, Val F1: 0.6546
 Epoch [110/250], Train Loss: 0.7318, Train Accuracy: 0.7582, Train F1: 0.7537, Validation Loss: 0.9163,Validation Accuracy: 0.7139, Val F1: 0.6498
 Epoch [111/250], Train Loss: 0.6826, Train Accuracy: 0.7750, Train F1: 0.7706, Validation Loss: 0.9152,Validation Accuracy: 0.7180, Val F1: 0.6485
 Epoch [112/250], Train Loss: 0.7277, Train Accuracy: 0.7531, Train F1: 0.7495, Validation Loss: 0.8652,Validation Accuracy: 0.7269, Val F1: 0.6631
 Epoch [113/250], Train Loss: 0.6707, Train Accuracy: 0.7844, Train F1: 0.7802, Validation Loss: 0.8593,Validation Accuracy: 0.7447, Val F1: 0.6752
 Epoch [114/250], Train Loss: 0.6775, Train Accuracy: 0.7723, Train F1: 0.7700, Validation Loss: 0.8807,Validation Accuracy: 0.7297, Val F1: 0.6606
 Epoch [115/250], Train Loss: 0.6918, Train Accuracy: 0.7727, Train F1: 0.7682, Validation Loss: 0.8498,Validation Accuracy: 0.7269, Val F1: 0.6635
 Epoch [116/250], Train Loss: 0.7086, Train Accuracy: 0.7637, Train F1: 0.7603, Validation Loss: 0.8936,Validation Accuracy: 0.7192, Val F1: 0.6536
 Epoch [117/250], Train Loss: 0.6887, Train Accuracy: 0.7707, Train F1: 0.7676, Validation Loss: 0.9093,Validation Accuracy: 0.7208, Val F1: 0.6494
 Epoch [118/250], Train Loss: 0.6723, Train Accuracy: 0.7773, Train F1: 0.7739, Validation Loss: 0.8137,Validation Accuracy: 0.7472, Val F1: 0.6794
 Epoch [119/250], Train Loss: 0.6680, Train Accuracy: 0.7695, Train F1: 0.7673, Validation Loss: 0.8857,Validation Accuracy: 0.7301, Val F1: 0.6674
 Epoch [120/250], Train Loss: 0.6595, Train Accuracy: 0.7844, Train F1: 0.7802, Validation Loss: 0.8715,Validation Accuracy: 0.7306, Val F1: 0.6603
 Epoch [121/250], Train Loss: 0.6847, Train Accuracy: 0.7770, Train F1: 0.7735, Validation Loss: 0.8491,Validation Accuracy: 0.7395, Val F1: 0.6749
 Epoch [122/250], Train Loss: 0.6901, Train Accuracy: 0.7680, Train F1: 0.7642, Validation Loss: 0.8417,Validation Accuracy: 0.7391, Val F1: 0.6764
 Epoch [123/250], Train Loss: 0.6894, Train Accuracy: 0.7695, Train F1: 0.7666, Validation Loss: 0.8525,Validation Accuracy: 0.7358, Val F1: 0.6710
 Epoch [124/250], Train Loss: 0.6631, Train Accuracy: 0.7727, Train F1: 0.7691, Validation Loss: 0.8332,Validation Accuracy: 0.7480, Val F1: 0.6813
 Epoch [125/250], Train Loss: 0.6759, Train Accuracy: 0.7734, Train F1: 0.7713, Validation Loss: 0.8565,Validation Accuracy: 0.7265, Val F1: 0.6615
 Epoch [126/250], Train Loss: 0.6688, Train Accuracy: 0.7758, Train F1: 0.7718, Validation Loss: 0.8860,Validation Accuracy: 0.7293, Val F1: 0.6729
 Epoch [127/250], Train Loss: 0.6814, Train Accuracy: 0.7695, Train F1: 0.7657, Validation Loss: 0.8692,Validation Accuracy: 0.7330, Val F1: 0.6581
 Epoch [128/250], Train Loss: 0.6363, Train Accuracy: 0.7859, Train F1: 0.7818, Validation Loss: 0.7597,Validation Accuracy: 0.7711, Val F1: 0.6895
 Epoch [129/250], Train Loss: 0.6601, Train Accuracy: 0.7785, Train F1: 0.7754, Validation Loss: 1.0298,Validation Accuracy: 0.6872, Val F1: 0.6285
 Epoch [130/250], Train Loss: 0.6846, Train Accuracy: 0.7777, Train F1: 0.7735, Validation Loss: 0.8747,Validation Accuracy: 0.7176, Val F1: 0.6511
 Epoch [131/250], Train Loss: 0.6466, Train Accuracy: 0.7840, Train F1: 0.7816, Validation Loss: 0.8867,Validation Accuracy: 0.7306, Val F1: 0.6574
 Epoch [132/250], Train Loss: 0.6946, Train Accuracy: 0.7750, Train F1: 0.7703, Validation Loss: 0.8477,Validation Accuracy: 0.7229, Val F1: 0.6589
 Epoch [133/250], Train Loss: 0.6382, Train Accuracy: 0.7922, Train F1: 0.7895, Validation Loss: 0.8087,Validation Accuracy: 0.7536, Val F1: 0.6753
 Epoch [134/250], Train Loss: 0.6526, Train Accuracy: 0.7762, Train F1: 0.7744, Validation Loss: 0.8089,Validation Accuracy: 0.7541, Val F1: 0.6874
 Epoch [135/250], Train Loss: 0.6550, Train Accuracy: 0.7727, Train F1: 0.7697, Validation Loss: 0.8651,Validation Accuracy: 0.7362, Val F1: 0.6747
 Epoch [136/250], Train Loss: 0.6805, Train Accuracy: 0.7719, Train F1: 0.7689, Validation Loss: 0.8080,Validation Accuracy: 0.7642, Val F1: 0.6886
 Epoch [137/250], Train Loss: 0.6519, Train Accuracy: 0.7770, Train F1: 0.7744, Validation Loss: 0.8993,Validation Accuracy: 0.7322, Val F1: 0.6709
 Epoch [138/250], Train Loss: 0.6439, Train Accuracy: 0.7891, Train F1: 0.7862, Validation Loss: 0.8396,Validation Accuracy: 0.7484, Val F1: 0.6906
 Epoch [139/250], Train Loss: 0.6369, Train Accuracy: 0.7891, Train F1: 0.7860, Validation Loss: 0.8481,Validation Accuracy: 0.7476, Val F1: 0.6850
 Epoch [140/250], Train Loss: 0.6782, Train Accuracy: 0.7648, Train F1: 0.7621, Validation Loss: 0.8335,Validation Accuracy: 0.7528, Val F1: 0.6862
 Epoch [141/250], Train Loss: 0.6226, Train Accuracy: 0.7891, Train F1: 0.7830, Validation Loss: 0.8187,Validation Accuracy: 0.7528, Val F1: 0.6894
 Epoch [142/250], Train Loss: 0.6515, Train Accuracy: 0.7891, Train F1: 0.7856, Validation Loss: 0.8876,Validation Accuracy: 0.7350, Val F1: 0.6714
 Epoch [143/250], Train Loss: 0.6701, Train Accuracy: 0.7809, Train F1: 0.7789, Validation Loss: 0.8512,Validation Accuracy: 0.7399, Val F1: 0.6719
 Epoch [144/250], Train Loss: 0.6219, Train Accuracy: 0.7887, Train F1: 0.7859, Validation Loss: 0.8752,Validation Accuracy: 0.7212, Val F1: 0.6574
 Epoch [145/250], Train Loss: 0.6343, Train Accuracy: 0.7895, Train F1: 0.7869, Validation Loss: 0.8855,Validation Accuracy: 0.7277, Val F1: 0.6663
 Epoch [146/250], Train Loss: 0.6185, Train Accuracy: 0.7941, Train F1: 0.7908, Validation Loss: 0.8443,Validation Accuracy: 0.7476, Val F1: 0.6829
 Epoch [147/250], Train Loss: 0.6245, Train Accuracy: 0.7906, Train F1: 0.7889, Validation Loss: 0.8155,Validation Accuracy: 0.7378, Val F1: 0.6701
 Epoch [148/250], Train Loss: 0.6254, Train Accuracy: 0.7887, Train F1: 0.7854, Validation Loss: 0.8499,Validation Accuracy: 0.7581, Val F1: 0.6851
 Epoch [149/250], Train Loss: 0.6937, Train Accuracy: 0.7664, Train F1: 0.7634, Validation Loss: 0.8746,Validation Accuracy: 0.7156, Val F1: 0.6591
